gene_symbol,half_life_hours
Bag4,1.785
Bag5,0.548
Bag6,31.033
Bahcc1,1.795
Bahd1,1.288
Baiap2,1.613
Baiap2l1,3.513
Baiap2l2,3.551
Baiap3,4.829
Bak1,6.923
Bambi,0.481
Banf1,23.33
Bank1,29.497
Banp,1.677
Bap1,3.244
Bard1,1.602
Barhl1,0.937
Barx1,3.388
Basp1,11.056
Batf,54.134
Batf2,2.779
Batf3,5.911
Bax,11.3
Baz1a,2.15
Baz1b,2.609
Baz2a,4.455
Baz2b,2.888
Bbc3,0.732
Bbip1,14.432
Bbln,40.821
Bbof1,3.934
Bbs1,5.314
Bbs10,1.305
Bbs12,0.921
Bbs2,12.868
Bbs4,7.256
Bbs5,4.173
Bbs7,15.669
Bbs9,22.47
Bbx,5.629
Bcam,33.659
Bcan,3.52
Bcap29,16.586
Bcap31,24.1
Bcar1,0.656
Bcar3,0.474
Bcas1,4.132
Bcas2,10.855
Bcas3,17.917
Bcat1,12.855
Bcat2,23.784
Bccip,9.983
Bcdin3d,1.275
Bche,7.832
Bckdha,29.677
Bckdhb,36.138
Bckdk,22.907
Bcl10,0.998
Bcl11a,2.275
